"A","Een"
"Actions & Deals","acties & aanbiedingen"
"Add","Toevoegen"
"Add punch Rose if you suffer from pests","Stootvoegroos voor als u last heeft van ongedierte"
"Add to","Toevoegen"
"Add to Cart","Voeg toe aan winkelwagen"
"All","Alles"
"All Categories...","Alle Categorien..."
"All filters","Toon filter"
"An award-winning customer service","Een bekroonde klantenservice"
"and 24031 customers who came before","en 24031 klanten die u voorgingen"
"Any questions? Call us at","Nog vragen? Bel ons op"
"Ask Your Question","stel hier je vraag"
"Ask Your Own Question","Stel Je Eigen Vraag"
"Assortment","Assortiment"
"Assortment..","Assortiment.."
"At GYZS.nl","bij GYZS.nl"
"Back","Terug"
"Previous step","Vorige stap"
"Eliminate without account","Reken af zonder account"
"Previous step","Vorige stap"
"Eliminate without account","Reken af zonder account"
"Back to Login","Terug naar Inloggen"
"Bestsellers","Best verkocht"
"Blog along with GYZS","blog mee met GYZS"
"Business customer are","Zakelijke klant worden"
"Buy","Bestel"
"Call","Bel"
"Checkout","Uitchecken"
"Choose a category...","Kies een categorie..."
"Click & Buy","Klik & bestel"
"Color","Kleur"
"combinations & bulkdeals","GERELATEERDE ARTIKELEN"
"Compare","Vergelijk"
"Continue to Checkout","Bestelling afronden"
"customer rating","klantenbeoordeling"
"Customer Service","Klantenservice"
"Delivery Throughout Europe","Bezorging in heel Europa"
"Description","Omschrijving"
"Short Description","Korte Omschrijving"
"Short description","Korte omschrijving"
"direct leverbaar","immediately available"
"Directly go to ","Direct naar"
"Discount on clothing","Korting op werkkleding"
"Discounts and Promotions online","Korting & acties online"
"discover gyzs","maak kennis met GYZS"
"Door Fitings","deurbeslag"
"Downloads","Downloads"
"Email Address..","E-mailadres.."
"Email Address...","E-mailadres..."
"Email Address"," E-mail"
"Everything in your mailbox","Alles in je mailbox"
"Everything to feel safe","alles voor een veilig gevoel"
"Excl. Tax","excl btw"
"Follow gyzs online","Volg GYZS online op"
"Forgot Your Password?","Je wachtwoord vergeten?"
"I forgot my password","ik ben mijn wachtwoord vergeten"
"I lost my","ik ben mijn "
"Forgot your password","wachtwoord vergeten"
"Free delivery from","Gratis bezorging vanaf"
"Frequently Asked Questions","Veel gestelde vragen"
"Frequently asked questions","Veelgestelde vragen"
"get answer within a weekday","binnen een werkdag antwoord"
"General","Algemeen"
"Give your review","Geef uw beoordeling"
"Go back to the overview","Ga terug naar het overzicht"
"Go to the blog of GYZS","Ga naar het blog van GYZS"
"Good. Supplier of materials own supplier has standard stock","Goed. Leverancier van materialen die eigen leverancier niet standaard op voorraad heeft"
"Grouped Product","Gegroepeerd product"
"handmade selection","handgemaakte selectie"
"Hide","Verberg"
"Hinges","scharnieren"
"How do you determine the direction of a door or","Hoe bepaal je de draairichting  van een deur of"
"In stock","op voorraad"
"Incl. Tax","incl. btw"
"Incl. Tax:","incl."
"items","artikelen"
"Job Tips","Klustips"
"Jump to next slot","Ga 3 pagina's vooruit"
"Jump to previous slot","Ga 3 pagina's terug"
"Klustip: drill how does that work?","Klustip: boor machine hoe werkt dat?"
"Klustip: wallpaper without bubbles","Klustip:behangen zonder luchtbellen"
"Length(mm)","Lengte(mm)"
"less...","Toon minder"
"View less","Toon minder"
"Let gyzs call","Laat GYZS u bellen"
"Let GYZS call you back","Laat GYZS u terugbellen"
"Log in first","Log in first"
"Locks","sloten"
"Manual for this product","Product handleiding van dit artikel "
"more...","Toon meer"
"Most sold items","Meest Verkochte Artikelen"
"Most viewed","Meest bekeken"
"My Account","Mijn account"
"My Orders","Mijn bestellingen"
"My current orders","Mijn lopende bestellingen"
"My Wishlist","Mijn verlanglijst"
"Now Accessible","nu bereikbaar"
"weekly get the best tips from our blog,","Ontvang wekelijks de beste tips van ons blog,"
"Order Returns","Order retourneren"
"Order right now, get delieverd tomorrow","Nu besteld. morgen geleverd"
"Other customers also bought","andere klanten kochten ook"
"Out of stock","niet op voorraad "
"Password","Wachtwoord"
"Payment options","Betaalmogelijkheden"
"Performance","Uitvoering"
"pieces","Stuks"
"Place below your message,question or remark :","Plaats hieronder je bericht, vraag of opmerking :"
"Please enter a valid email address. For example johndoe@domain.com.","Vul een geldig e-mailadres in. Bijvoorbeeld john doe@domain.com."
"Please enter your email address below. You will receive a link to reset your password.","Vul hieronder uw e-mailadres. U ontvangt een link om uw wachtwoord opnieuw in te stellen ontvangen."
"Posted on %s","Geplaatst op %s"
"Preferences","Voorkeuren"
"Price","Prijs"
"product","product"
"Product Information","Productinformatie"
"Product Description","Product omschrijving"
"products","producten"
"professional tips","klustips"
"Product comparisons of","Product vergelijkingen van"
"Review by","beoordeling door"
"Read","Lees"
"Read full description","Lees complete omschrijving"
"Read less","Lees minder"
"Read group less","Lees minder"
"Read less description","Lees minder omschrijving"
"read more","lees verder"
"Read group more","Lees verder"
"Read more","Lees verder"
"Read review","Lees review"
"Recently viewed by you","recent door  jou bekeken"
"Register as Customer","Registreer als klant"
"Retrieve your password here.","Vraag hier jouw wachtwoord op."
"Reviews","Beoordelingen"
"reviews","beoordelingen"
"Remove","Verwijderen"
"Sale in your mailbox","Sale in uw mailbox"
"satisfied customers","tevreden klanten"
"Save","Bewaar"
"Screw","schroeven"
"Search","Zoek"
"Send us an email","Stuur ons een mail"
"Shipping","Verzendkosten"
"Shopping Cart","Winkelwagen"
"Show Comparision","Toon vergelijking"
"Show comparison","Toon vergelijking"
"Sign Out","Uitloggen"
"Sku","Artikelnummer"
"Sort","Sorteren"
"Sort By","Sorteer op..."
"Special Selection","Speciale selectie"
"Specially choosen for you","speciaal voor u gekozen"
"specially selected for you","speciaal voor u geselecteerd"
"Specifications","Specificaties"
"Specifications to ask","Specificaties tot vragen"
"Starting at:","Starting at:"
"Stock","Voorraad"
"Submit my question","Verstuur mijn vraag"
"Submit my review","Verstuur mijn beoordeling"
"Subtotal","Subtotaal"
"Submit","Verstuur"
"tax","btw"
"the best deals and more ...","de scherpste aanbiedingen en meer..."
"The comparison list was cleared.","De vergelijking lijst werd ontruimd."
"The Gyzs Blog","Het Blog van GYZS"
"Therefore you opt for Gyzs","Daarom Kiest u voor Gyzs"
"This is a required field.","Dit is een verplicht veld"
"Type here the title of your question","Type hier de title van uw vraag"
"Type here your review...","Type hier uw beoordeling"
