"Varnish hostname was still localhost; This has been changed to","Varnish hostname was still localhost; This has been changed to"
"Debug delay","Debug delay"
"When verbose logging is enabled, all AJAX calls are delayed by the number of seconds specified here. Set this to 0 to disable the delay.","When verbose logging is enabled, all AJAX calls are delayed by the number of seconds specified here. Set this to 0 to disable the delay."
"images","images"
"MageBoost FPC","MageBoost FPC"
"MageBoost Full Page Cache system.","MageBoost Full Page Cache system."
"Yes","Yes"
"No","No"
"Could not set the flush cookie","Could not set the flush cookie"
"Please note that MageBoost is disabled.","Please note that MageBoost is not enabled."
"Please note that Varnish caching is disabled.","Please note that Varnish caching is not enabled."
"The Varnish cache storage has been flushed.","The Varnish cache storage has been flushed."
"Varnish cache type purged.","Varnish cache type purged."
"Varnish Purge failed","Varnish Purge failed"
"Varnish complete flush failed","Varnish complete flush failed"
"Some varnish purges failed","Some varnish purges failed"
"The Magento cache storage has been flushed.","The Magento cache storage has been flushed."
"MageBoost settings","MageBoost settings"
"Visit our support site for more information","Visit our support site for more information"
"Disable MageBoost","Disable MageBoost"
"Put MageBoost in passthru mode; Nothing will be holepunched or marked as cachable, no actions will be performed by the observers and the javascript library will not be loaded. Varnish will act as a forwarding proxy.","Put MageBoost in passthru mode; Nothing will be holepunched or marked as cachable, no actions will be performed by the observers and the javascript library will not be loaded. Varnish will act as a forwarding proxy."
"Enable verbose logging","Enable verbose logging"
"Enable verbose logging of just about everything the plugin does (not recommended for production environments).","Enable verbose logging of just about everything the plugin does (not recommended for production environments)."
"API key","API key"
"The API key with which MageBoost communicates to the caching server.","The API key with which MageBoost communicates to the caching server."
"Flush cookie","Flush cookie"
"The flush cookie with which a user can perform flushes.","The flush cookie with which a user can perform flushes."
"Frontend settings","Frontend settings"
"Enable sessionwarming overlay","Enable sessionwarming overlay"
"Show an overlay for site visitors that do not yet have a formkey variable set.","Show an overlay for site visitors that do not yet have a formkey variable set."
"Sessionwarming overlay color","Sessionwarming overlay color"
"Specify the overlay CSS background-color value here.","Specify the overlay CSS background-color value here."
"Sessionwarming overlay opacity","Sessionwarming overlay opacity"
"Specify the overlay CSS opacity value here.","Specify the overlay CSS opacity value here."
"Use sessionwarming overlay image","Use sessionwarming overlay image"
"Choose if you want to use an overlay image.","Choose if you want to use an overlay image."
"Sessionwarming overlay image","Sessionwarming overlay image"
"Specify the overlay image path inside the used frontend skin.","Specify the overlay image path inside the used frontend skin."
"Cache controls","Cache controls"
"Varnish hostname","Varnish hostname"
"The hostname that MageBoost uses to tell Varnish for which stored hostname to perform the requested commands (purge, purgeall, etc.).", "The hostname that MageBoost uses to tell Varnish for which stored hostname to perform the requested commands (purge, purgeall, etc.)."
"Varnish cache servers","Varnish cache servers"
"The list of your Varnish cache servers with their port specified in <b>&lt;ip&gt;</b>:<b>&lt;port&gt;</b> format, separated with commas or enters/newlines.","The list of your Varnish cache servers with their port specified in <b>&lt;ip&gt;</b>:<b>&lt;port&gt;</b> format, separated with commas or enters/newlines."
"Cacheable controller/route whitelist","Cacheable controller/route whitelist"
