"Varnish hostname was still localhost; This has been changed to","Varnish hostname was nog steeds localhost; Dit is gewijzigd naar"
"Debug delay","Debug vertraging"
"When verbose logging is enabled, all AJAX calls are delayed by the number of seconds specified here. Set this to 0 to disable the delay.","Wanneer uitgebreide logging is ingeschakeld zullen alle AJAX calls worden vertraagd met dit aantal seconden. Zet dit op 0 om de vertraging uit te schakelen."
"images","afbeeldingen"
"MageBoost FPC","MageBoost FPC"
"MageBoost Full Page Cache system.","MageBoost Full Page Cache systeem."
"Yes","Ja"
"No","Nee"
"Could not set the flush cookie","Kon de flush cookie niet aanmaken"
"Please note that MageBoost is disabled.","Let op: MageBoost staat uitgeschakeld."
"Please note that Varnish caching is disabled.","Let op: Varnish caching staat uitgeschakeld."
"The Varnish cache storage has been flushed.","De Varnish cache opslag is geleegd."
"Varnish cache type purged.","Varnish cache succesvol geflushed."
"Varnish Purge failed","Varnish Purge niet gelukt"
"Varnish complete flush failed","Varnish complete flush niet gelukt"
"Some varnish purges failed","Sommige varnish flushes zijn niet gelukt"
"The Magento cache storage has been flushed.","De Magento cache opslag is geleegd."
"MageBoost settings","MageBoost instellingen"
"Visit our support site for more information","Bezoek onze support site voor meer informatie"
"Disable MageBoost","MageBoost uitschakelen"
"Put MageBoost in passthru mode; Nothing will be holepunched or marked as cachable, no actions will be performed by the observers and the javascript library will not be loaded. Varnish will act as a forwarding proxy.","Zet MageBoost in 'doorgeef'-stand: Niets zal geholepunched of gecached worden of als cachebaar gemarkeerd worden, geen acties zullen worden uitgevoerd door de observers en de javascript bibliotheek zal niet geladen worden. Varnish wordt hiermee een simpele forwarding proxy."
"Enable verbose logging","Inschakelen uitgebreide logging"
"Enable verbose logging of just about everything the plugin does (not recommended for production environments).","Inschakelen van uitgebreide logging van vrijwel alles wat de plugin doet (niet aanbevolen voor productie-omgevingen)."
"API key","API sleutel"
"The API key with which MageBoost communicates to the caching server.","De API sleutel waarmee MageBoost met de caching server communiceert."
"Flush cookie","Flush cookie"
"The flush cookie with which a user can perform flushes.","De flush cookie waarmee een gebruiker flushes kan uitvoeren."
"Frontend settings","Frontend instellingen"
"Enable sessionwarming overlay","Inschakelen sessiewarmer overlay"
"Show an overlay for site visitors that do not yet have a formkey variable set.","Laat een overlay zien voor site bezoekers die nog geen formkey variable hebben."
"Sessionwarming overlay color","Sessiewarmer overlay kleur"
"Specify the overlay CSS background-color value here.","Geef hier de CSS background-color op."
"Sessionwarming overlay opacity","Sessiewarmer overlay ondoorzichtigheid"
"Specify the overlay CSS opacity value here.","Geef hier de CSS opacity waarde op."
"Use sessionwarming overlay image","Gebruik sessionwarmer overlay-afbeelding"
"Choose if you want to use an overlay image.","Kies hier of je een overlay-afbeelding wilt gebruiken."
"Sessionwarming overlay image","Sessionwarmer overlay-afbeelding"
"Specify the overlay image path inside the used frontend skin.","Geef hier het pad op naar de overlay-afbeelding binnen de frontend skin directory."
"Cache controls","Cache instellingen"
"Varnish hostname","Varnish domeinnaam"
"The hostname that MageBoost uses to tell Varnish for which stored hostname to perform the requested commands (purge, purgeall, etc.).", "De domeinnaam die MageBoost gebruikt om Varnish te kunnen vertellen op welke opgeslagen domeinnaam de gevraagde commando's uitvoerd dienen te worden (purge, purgeall, etc.)."
"Varnish cache servers","Varnish cache servers"
"The list of your Varnish cache servers with their port specified in <b>&lt;ip&gt;</b>:<b>&lt;port&gt;</b> format, separated with commas or enters/newlines.","De lijst van uw Varnish cache servers met hun poort genoteerd in <b>&lt;ip&gt;</b>:<b>&lt;poort&gt;</b> formaat, komma- of enter-gescheiden (1 per regel)."
"Cacheable controller/route whitelist","Cachebare controller/route whitelist"
"The list of controllers/routes that should be marked by MageBoost as cacheable object for Varnish, in <b>&lt;controller_name&gt;;&lt;ttl_in_seconds&gt;</b> format, separated with commas or enters/newlines.","De lijst met controllers/routes die door MageBoost voor Varnish als cachebaar object gemarkeerd mogen worden, in <b>&lt;controller_naam&gt;;&lt;ttl_in_seconden&gt;</b> formaat, komma- of enter-gescheiden (1 per regel)."
