"Luxesierbeslag","Luxesierbeslag-Titel","Sku","_type"
"29.87","Cijferhangslot Abus 4 cijfers 160/50","1226053","dict"
"58.64","Goal buitendeurslot roestvaststaal  us51e","1203241","dict"
"34.55","Goal loopslot       roestvaststaal  us 1e","1203245","dict"
"72.59","Goal voordeurslot   roestvaststaal  us 8e","1203243","dict"
"36.43","Goal badk.deurslot  roestvaststaal  us 4e","1203247","dict"
"58.64","Goal buitendeurloopslot RVS US5E","1203249","dict"
"19.44","Alprokon Deurnaald onderdeel Tecnofire-165x90 (Nemef 600)","1463864","dict"
"13.78","Alprokon Deurnaald onderdeel Tecnofire-89x36 (Scharnieren)","1463865","dict"
"41.33","Ami vh-schilden 251/15 f1 pc92 ktb dd40","1306797","dict"
"43.14","Ami vh-schilden 251/15 f1 pc92 ktb dd54","1306798","dict"
"89.72","Finger Alert 180° wit 245cm","1476031","dict"
"27.54","Window Alert wit raambeveiliging","1476033","dict"
"102.06","Finger Alert Extreme 180cm wit","1476054","dict"
"102.06","Finger Alert Extreme 180cm antraciet","1476055","dict"
"102.06","Finger Alert Extreme 180cm zilver grijs","1476056","dict"
"106.40","Finger Alert Extreme 195cm wit","1476057","dict"
"106.40","Finger Alert Extreme 195cm antraciet","1476058","dict"
"106.40","Finger Alert Extreme 195cm zilver grijs","1476059","dict"
"40.47","Deurstopper Finger Alert Door Slam Stopper, afmeting 13x5,5cm","1476060","dict"
"\7.67","Deurstop roestvaststaal voor wandmontage 25x60mm","1217883","dict"
"\7.56","Leuninghouder hol opschroevend zwart w7271","1313095","dict"
"23.57","Deurkruk RVS op rond rozet 50mm kunststof, geveerd","E350000","dict"
"23.57","Deurkruk / deurbeslag Alba RVS, krukstel op rond rozet 50mm","E350001","dict"
"26.15","Deurkruk Christina RVS, krukstel op rond rozet 50mm","E350002","dict"
"26.15","Deurkruk Black RVS, krukstel op rond rozet 50mm","E350003","dict"
"44.49","Deurkruk Madrid RVS, krukstel hol op rond rozet 50mm","E350004","dict"
"\9.89","Cilinderrozet 50MM RVS rond per paar","E350010","dict"
"\9.89","Sleutelrozet 50mm RVS Rond per paar","E350011","dict"
"36.57","Deurkruk Morgan RVS, krukstel op rond rozet 50mm","E350005","dict"
"44.87","Deurkruk Arena RVS, krukstel op rond rozet 50mm","E350006","dict"
"25.71","WC garnituur 50mm RVS rond","E350012","dict"
"27.15","Deurkruk Alaska RVS, krukstel op rond rozet 50mm","E350007","dict"
"59.29","Deurkruk Alba RVS, krukstel op vierkant rozet 52mm","E350013","dict"
"59.29","Deurkruk Kubus RVS, krukstel op vierkant rozet 52mm","E350014","dict"
"50.08","Deurkruk Malibu RVS, krukstel op vierkant rozet 52mm","E350015","dict"
"78.92","Deurkruk Louisiana mat nikkel, krukstel op vierkant rozet 52mm","E350016","dict"
"63.22","Deurkruk Alaska RVS, krukstel op vierkant rozet 52mm","E350017","dict"
"80.54","Deurkruk Cube Pure RVS, krukstel op vierkant rozet 52mm","E350018","dict"
"19.80","Cilinderrozet RVS 52mmm per paar vierkant","E350024","dict"
"19.80","Sleutelrozet RVS 52mm per paar vierkant","E350025","dict"
"19.80","Cilinderrozet mat nikkel 52mm per paar vierkant","E350026","dict"
"\9.51","Sleutelrozet mat nikkel 52mm per paar vierkant","E350027","dict"
"42.16","WC garnituur RVS 52MM vierkant","E350028","dict"
"38.32","WC garnituur Mat Nikkel 52mm vierkant","E350029","dict"
"12.27","Deurkruk alum op rond rozet 50mm kunststof, ongeveerd R1981F1","E350031","dict"
"12.27","Deurkruk Toronto Aluminium, krukstel op rond rozet 50mm","E350030","dict"
"19.17","Deurkruk Dublino aluminium, krukstel op rond rozet 50mm","E350032","dict"
"13.56","Deurkruk Venus aluminium, krukstel op rond rozet 50mm","E350033","dict"
"\1.33","Sleutelrozet Aluminium  50mm per paar F1","E350035","dict"
"10.41","wc garnituur alu 50 mm rond 9400F1","E350036","dict"
"38.01","Deurkruk Michela mat nikkel gelakt, krukstel op rond rozet 50mm","E350037","dict"
"30.78","Deurkruk Apoll mat nikkel gelakt, krukstel op rond rozet 50mm","E350038","dict"
"27.32","Deurkruk Rhapsodie mat nikkel gelakt, krukstel op rond rozet 50mm","E350039","dict"
"\9.87","Cilinderrozet mat nikkel 50mm rond per paar","E350045","dict"
"\9.87","Sleutelrozet mat nikkel 50mm rond per paar","E350046","dict"
"21.73","WC garnituur 50 mm mat nikkel rond","E350047","dict"
"57.89","Deurkruk nikkel gepolijst jaren 30, krukstel  beuken gelakt op 38mm rozet","E350048","dict"
"44.75","Deurkruk Ton mat chroom jaren 30, krukstel beuken gelakt op 55mm rozet","E350049","dict"
"64.15","Deurkruk Thor nikkel gepolijst jaren 30, krukstel Beuken gelakt op 55mm rozet retro","E350050","dict"
"19.28","Sleutelrozet glans nikkel 38mm vierkant per paar","E350051","dict"
"14.73","Cilinderrozet glans nikkel 55mm rond per paar","E350052","dict"
"14.73","Sleutelrozet glans nikkel 55mm rond per paar","E350053","dict"
"10.66","Cilinderrozet mat chroom 50mm rond per paar","E350054","dict"
"10.66","Sleutelrozet mat chroom 50mm rond per paar","E350055","dict"
"37.57","WC garnituur glans nikkel 38mm vierkant rozet","E350056","dict"
"28.00","WC garnituur glans nikkel 50mm rond","E350057","dict"
"23.99","WC garnituur mat chroom 50mm rond","E350058","dict"
"26.80","Deurkruk Alba Promo zwart, krukstel op rond rozet 50mm","E350059","dict"
"49.82","Deurkruk Arena zwart, krukstel op rond rozet 50mm","E350060","dict"
"17.96","Deurkruk zwart aluminium, krukstel op rond rozet 50mm","E350061","dict"
"11.40","Cilinderrozet zwart 50mm rond per paar","E350062","dict"
"11.40","Sleutelrozet zwart 50mm rond per paar","E350063","dict"
"31.08","WC Garnituur zwart 50mm rond","E350064","dict"
"\3.87","Cilinderrozet alum. zwart  50mm rond per paar","E350065","dict"
"\3.87","Sleutelrozet alum. zwart  50mm rond per paar","E350066","dict"
"12.16","WC garnituur alum. zwart 50mm rond","E350067","dict"
"\8.07","Nemef vh-sluitkom VS4228","1200092","dict"
"15.88","Nemef loopslot 1255-2 zw.veer","1200641","dict"
"20.67","Nemef badkamerslot 1264-4 zw.veer","1200643","dict"
"21.78","Nemef d/n slot sl.56 1266-4 zw.veer","1200645","dict"
"24.72","Nemef d/n slot pc55 1269-4 zw.veer","1200647","dict"
"28.87","Nemef kastslot pc   638/2-kv-60","1201240","dict"
"72.65","Nemef d/n slot sl646/17-kv-60 din R","1201274","dict"
"72.65","Nemef d/n slot sl646/17-kv-60 din L","1201275","dict"
"124.25","Nemef a/p slot 649/46-kv-60 Din links BI","1201308","dict"
"124.25","Nemef a/p slot 649/46-kv-60 Din Rechts BI","1201309","dict"
"\2.95","Nemef sluitplaat roestvaststaal rond loop p635/17.","1201543","dict"
"\3.15","Nemef hoeksluitplaat hp646/12 ls","1201580","dict"
"\3.15","Nemef hoeksluitplaat hp646/12 rs","1201581","dict"
"\5.60","Nemef sluitplaat roestvaststaal rond d/n p646/17 din L.","1201609","dict"
"\5.60","Nemef sluitplaat roestvaststaal rond d/n p646/17 din R.","1201610","dict"
"\2.95","Nemef sluitplaat roestvaststaal rond kast p636/18","1201617","dict"
"\2.84","Nemef sluitplaat rvs 29x109,5 recht 4228","1201686","dict"
"\0.58","Nemef sluitplaat 1256/12 afgerond","1201755","dict"
"54.92","Knopcilinder corbin dubb.2x10 96260","1202025","dict"
"13.85","Uitzetter combi        2040/18","1308450","dict"
"110.07","Cilinder corbin dubb.p 6 gls 91260","1202007","dict"
"730.22","Cilinder corbin dubb.p48 gls 91260","1202010","dict"
