"Ean","Quofi","Quofi-Titel","_type"
"8714186485668","45.88","Intersteel deurkruk met rozet - Banaan - verdekt - messing ongelakt","dict"
"8714186485675","49.34","Intersteel deurkruk met rozet - Rond - verdekt - messing getrommeld","dict"
"8714186093061","7.78","Intersteel rozet met sleutelgat - messing ongelakt","dict"
"8714186093078","7.78","Intersteel rozet met profielcilindergat - verdekt - kunststof - messing ongelakt","dict"
"8714186093092","29.40","Intersteel toilet-/badkamersluiting met rond rozet - Ø 49 mm - messing ongelakt","dict"
"8714186473061","31.59","Intersteel WC-overslag - met bocht - met tekst ""vrij/bezet"" - messing ongelakt","dict"
"8714186519646","31.59","Intersteel wc-overslag - met bocht - groen/rood - messing ongelakt","dict"
"8714186473139","31.59","Intersteel WC-overslag - vlak - met tekst ""vrij/bezet"" - messing ongelakt","dict"
"8714186523582","31.59","Intersteel wc-overslag - vlak - groen/rood - messing ongelakt","dict"
"8714186079522","110.68","Intersteel veiligheidsrozet - met kerntrekbeveiliging - messing ongelakt","dict"
"8714186079768","75.95","Intersteel veiligheidsrozet - messing ongelakt","dict"
"8714186069127","249.85","Intersteel veiligheidsbeslag greep/kruk - SKG*** met kerntrekbeveiliging - PC 72 - messing ongelakt","dict"
"8714186505861","233.70","Intersteel veiligheidsbeslag kruk/kruk - SKG*** met kerntrekbeveiliging - PC 72 - messing ongelakt","dict"
"8714186018064","40.81","Intersteel voordeurknop paddenstoel - ø 57 mm - messing ongelakt","dict"
"8714186018132","37.00","Intersteel voordeurknop rond zwaar - ø 72 mm - messing ongelakt","dict"
"8714186292150","9.50","Intersteel afdekplaatje voordeurknop - messing ongelakt","dict"
"8714186018279","19.34","Intersteel deurbel - schroefmodel - rond 50 mm - messing ongelakt","dict"
"8714186018187","20.38","Intersteel beldrukker - ovaal - 60x32 mm - messing ongelakt","dict"
"8714186018224","64.55","Intersteel briefplaat rechthoekig - met klep/regenrand - 325x77 mm - messing ongelakt","dict"
"8714186018217","66.45","Intersteel briefplaat rechthoekig - met klep - 343x70 mm - messing ongelakt","dict"
"8714186018200","67.41","Intersteel briefplaat - rechthoekig met veer - 348x75 mm - messing ongelakt","dict"
"8714186018194","75.95","Intersteel briefplaat - ovaal met veer - 343x77 mm - messing ongelakt","dict"
"8714186126202","83.56","Intersteel tochtklep - ovaal - 342x78 mm - messing ongelakt","dict"
"8714186128664","71.20","Intersteel tochtwering - rechthoekig - 325x75 mm - messing ongelakt","dict"
"8714186018163","56.00","Intersteel deurklopper - rond - 107 mm - messing ongelakt","dict"
"8714186018316","22.75","Intersteel deurstop recht model - 84 mm lang - wandmontage - messing ongelakt","dict"
"8714186018255","46.50","Intersteel raamuitzetter met stelpen - Dudok - messing ongelakt","dict"
"8714186485729","46.94","Intersteel deurkruk met rozet - Banaan - verdekt - messing getrommeld","dict"
"8714186485842","52.20","Intersteel deurkruk met schild - Banaan - blind - messing getrommeld","dict"
"8714186485859","52.20","Intersteel deurkruk met schild - Banaan - SL 56 - messing getrommeld","dict"
"8714186485866","60.75","Intersteel deurkruk met schild - Banaan - WC 63/8 - messing getrommeld","dict"
"8714186485736","71.20","Intersteel deurkruk met rozet - Palma - verdekt - messing getrommeld","dict"
"8714186485743","56.95","Intersteel deurkruk met rozet - Sophie - verdekt - messing getrommeld","dict"
"8714186485804","76.91","Intersteel deurkruk met rozet - Ton 222 - ebbenhout/messing getrommeld","dict"
"8714186485811","76.91","Intersteel deurkruk met rozet - Ton 400 - ebbenhout/messing getrommeld","dict"
"8714186485965","101.65","Intersteel deurkruk op schild - Bau-stil - blind - messing getrommeld","dict"
"8714186485972","101.65","Intersteel deurkruk op schild - Bau-stil - SL 56 - messing getrommeld","dict"
"8714186485989","111.15","Intersteel deurkruk op schild - Bau-stil - WC 63/8 - messing getrommeld","dict"
"8714186485828","46.50","Intersteel deurkruk met rozet - Trento - ebbenhout/messing getrommeld","dict"
"8714186485835","77.85","Intersteel deurkruk met rozet - Antonnet - met schroefgaten - ebbenhout/messing getrommeld","dict"
"8714186113394","5.22","Intersteel sleutelplaatje - schroefgat getrommeld","dict"
"8714186113400","5.22","Intersteel rozet met profielcilindergat - schroefgat - messing getrommeld","dict"
"8714186113608","25.13","Intersteel toilet-/badkamersluiting met rond rozet - Ø 52 mm - opschroef - messing getrommeld","dict"
"8714186119389","11.16","Intersteel rozet met profielcilindergat - rechthoekig - verlengd - messing getrommeld","dict"
"8714186119372","6.92","Intersteel sleutelplaatje - vierkant - getrommeld","dict"
"8714186119358","27.98","Intersteel toilet-/badkamersluiting met vierkant rozet - 38x38 mm - messing getrommeld","dict"
"8714186113387","15.15","Intersteel ronde krukrozetten - verdekt - kunststof onderrozet - messing getrommeld - 0011.318604","dict"
"8714186113363","7.78","Intersteel rozet met sleutelgat - rond - messing getrommeld","dict"
"8714186113370","7.78","Intersteel rozet met profielcilindergat - rond - messing getrommeld","dict"
"8714186113615","29.40","Intersteel toilet-/badkamersluiting met rond rozet - Ø 49 mm - messing getrommeld","dict"
